MySQL Shell 8.0.32

Copyright (c) 2016, 2023, Oracle and/or its affiliates.
Oracle is a registered trademark of Oracle Corporation and/or its affiliates.
Other names may be trademarks of their respective owners.

Type '\help' or '\?' for help; '\quit' to exit.
 MySQL  JS > \sql
Switching to SQL mode... Commands end with ;
 MySQL  SQL > \connect --mc root@localhost
Creating a Classic session to 'root@localhost'
Please provide the password for 'root@localhost': *************
Save password for 'root@localhost'? [Y]es/[N]o/Ne[v]er (default No): N
Fetching global names for auto-completion... Press ^C to stop.
Your MySQL connection id is 11
Server version: 8.0.32 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:3306 ssl  SQL > show databases;
+--------------------+
| Database           |
+--------------------+
| agencia            |
| ejemplo            |
| ejemplotdcs        |
| evaluacion_1       |
| information_schema |
| mysql              |
| ordenes_compra     |
| performance_schema |
| recursos_humanos   |
| sakila             |
| sys                |
| tarjetas_credito   |
| world              |
+--------------------+
13 rows in set (0.0018 sec)
 MySQL  localhost:3306 ssl  SQL > \use tarjetas_credito
Default schema set to `tarjetas_credito`.
Fetching global names, object names from `tarjetas_credito` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > show tables;
+----------------------------+
| Tables_in_tarjetas_credito |
+----------------------------+
| bancos                     |
| clientes                   |
| tarjetas                   |
+----------------------------+
3 rows in set (0.0032 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM tarjetas;
Empty set (0.0050 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\tarjetas.csv'
                                                 -> INTO TABLE Tarjetas
                                                 -> FIELDS TERMINATED BY ','
                                                 -> ENCLOSED BY '"'
                                                 -> LINES TERMINATED BY '\r\n'
                                                 -> IGNORE 1 LINES
                                                 -> (numero_tarjeta,banco_id,tipo_tarjeta,cliente_id,cvv_cvv2,fecha_expedicion,fecha_vencimiento,dia_pago,pin_tarjeta,limite_credito);
ERROR: 1292 (22007): Incorrect datetime value: '01/02/2011' for column 'fecha_expedicion' at row 1
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\tarjetas.csv' INTO TABLE Tarjetas FIELDS TERMINATED BY ',' ENCLOSED BY '"' LINES TERMINATED BY '\r\n' IGNORE 1 LINES (numero_tarjeta,banco_id,tipo_tarjeta,cliente_id,cvv_cvv2,fecha_expedicion,fecha_vencimiento,dia_pago,pin_tarjeta,limite_credito);
Query OK, 5000 rows affected (0.2639 sec)

Records: 5000  Deleted: 0  Skipped: 0  Warnings: 0
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT COUNT(*)
                                                 -> FROM Tarjetas;
+----------+
| COUNT(*) |
+----------+
|     5000 |
+----------+
1 row in set (0.0153 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM Tarjetas
                                                 -> LIMIT 1000;
+------------------+----------+---------------------------+------------+----------+---------------------+---------------------+----------+-------------+----------------+
| numero_tarjeta   | banco_id | tipo_tarjeta              | cliente_id | cvv_cvv2 | fecha_expedicion    | fecha_vencimiento   | dia_pago | pin_tarjeta | limite_credito |
| 6011492040455230 |        6 | Discover                  |        144 | 32       | 2013-03-01 00:00:00 | 2021-03-01 00:00:00 |        7 | 3437        |         144300 |
| 36114511304187   |        1 | Diners Club International |        145 | 734      | 2016-10-01 00:00:00 | 2028-10-01 00:00:00 |       16 | 3256        |          28500 |
| 6505812120580590 |        6 | Discover                  |        146 | 296      | 2010-05-01 00:00:00 | 2016-05-01 00:00:00 |       13 | 3047        |         176100 |
| 5213555394358460 |        9 | Master Card               |        147 | 873      | 2015-03-01 00:00:00 | 2021-03-01 00:00:00 |        9 | 5962        |         130100 |
| 30372168412556   |        1 | Diners Club International |        148 | 759      | 2016-12-01 00:00:00 | 2036-12-01 00:00:00 |        1 | 7963        |          31100 |
| 342587228619790  |        8 | American Express          |        149 | 9775     | 2010-06-01 00:00:00 | 2015-06-01 00:00:00 |       10 | 6820        |          16600 |
| 30406607397927   |        1 | Diners Club International |        150 | 709      | 2009-03-01 00:00:00 | 2024-03-01 00:00:00 |        6 | 4307        |          37800 |
| 5498526608701180 |        2 | Master Card               |        151 | 325      | 2012-05-01 00:00:00 | 2013-05-01 00:00:00 |       16 | 962         |          22700 |
| 5119201673825730 |        7 | Master Card               |        152 | 420      | 2016-06-01 00:00:00 | 2032-06-01 00:00:00 |       28 | 4125        |         135700 |
| 38722755107609   |        1 | Diners Club International |        153 | 11       | 2015-08-01 00:00:00 | 2020-08-01 00:00:00 |       16 | 6669        |          20100 |
| 5257481358770830 |        2 | Master Card               |        154 | 336      | 2008-08-01 00:00:00 | 2024-08-01 00:00:00 |       23 | 3148        |         189500 |
| 4356492115686340 |        2 | Visa                      |        155 | 724      | 2017-08-01 00:00:00 | 2037-08-01 00:00:00 |        3 | 5973        |          15600 |
| 4290867019039960 |       10 | Visa                      |        156 | 435      | 2009-07-01 00:00:00 | 2012-07-01 00:00:00 |       28 | 5951        |          26800 |
| 3539087703511910 |        3 | Japan Credit Bureau       |        157 | 915      | 2009-05-01 00:00:00 | 2026-05-01 00:00:00 |       28 | 7805        |         154800 |
| 30290562004193   |        1 | Diners Club International |        158 | 561      | 2010-01-01 00:00:00 | 2013-01-01 00:00:00 |        2 | 1443        |         145300 |
| 30015566812774   |        1 | Diners Club International |        159 | 289      | 2017-08-01 00:00:00 | 2022-08-01 00:00:00 |       21 | 7513        |          29300 |
| 6011660285379400 |        6 | Discover                  |        160 | 617      | 2012-04-01 00:00:00 | 2027-04-01 00:00:00 |        7 | 1081        |          24100 |
| 372143003922091  |       11 | American Express          |        161 | 9150     | 2014-11-01 00:00:00 | 2016-11-01 00:00:00 |        9 | 3947        |          87200 |
| 6447446641812800 |        6 | Discover                  |        162 | 118      | 2011-01-01 00:00:00 | 2027-01-01 00:00:00 |       13 | 2210        |         168800 |
| 5449162262674090 |       15 | Master Card               |        163 | 970      | 2015-11-01 00:00:00 | 2019-11-01 00:00:00 |       11 | 1312        |         191000 |
| 4301859863149150 |        2 | Visa                      |        164 | 454      | 2007-09-01 00:00:00 | 2011-09-01 00:00:00 |       26 | 2642        |          96700 |
| 342716933708560  |        8 | American Express          |        165 | 2551     | 2011-05-01 00:00:00 | 2020-05-01 00:00:00 |        9 | 1717        |         174700 |
| 4197737149602690 |       16 | Visa                      |        166 | 235      | 2011-06-01 00:00:00 | 2018-06-01 00:00:00 |        4 | 7945        |         133300 |
| 6011843107457820 |        6 | Discover                  |        167 | 140      | 2012-09-01 00:00:00 | 2026-09-01 00:00:00 |       23 | 7903        |         112700 |
| 346730530670970  |        8 | American Express          |        168 | 862      | 2011-03-01 00:00:00 | 2031-03-01 00:00:00 |       22 | 8929        |         126600 |
| 4484311308686810 |       14 | Visa                      |        169 | 73       | 2007-05-01 00:00:00 | 2016-05-01 00:00:00 |       24 | 5986        |          92400 |
| 6011621000397660 |        6 | Discover                  |        170 | 180      | 2008-11-01 00:00:00 | 2027-11-01 00:00:00 |       23 | 3109        |         105000 |
| 6011408172028220 |        6 | Discover                  |        171 | 86       | 2011-12-01 00:00:00 | 2018-12-01 00:00:00 |       14 | 6329        |         168900 |
| 346764320669751  |        8 | American Express          |        172 | 158      | 2009-08-01 00:00:00 | 2010-08-01 00:00:00 |       12 | 9392        |         129500 |
| 6011933303422740 |        6 | Discover                  |        173 | 364      | 2007-02-01 00:00:00 | 2020-02-01 00:00:00 |        6 | 9540        |          96200 |
| 30919817235216   |        1 | Diners Club International |        174 | 344      | 2007-05-01 00:00:00 | 2019-05-01 00:00:00 |       24 | 3922        |         146600 |
| 3575654145813690 |        3 | Japan Credit Bureau       |        175 | 603      | 2015-10-01 00:00:00 | 2018-10-01 00:00:00 |       10 | 1584        |         130100 |
| 6544300840051140 |        6 | Discover                  |        176 | 148      | 2009-07-01 00:00:00 | 2017-07-01 00:00:00 |        1 | 6257        |         147500 |
| 5407711801099070 |        9 | Master Card               |        177 | 271      | 2017-10-01 00:00:00 | 2023-10-01 00:00:00 |       21 | 7947        |          87400 |
| 5188867594930630 |        9 | Master Card               |        178 | 327      | 2007-05-01 00:00:00 | 2011-05-01 00:00:00 |       23 | 3631        |         114500 |
| 5403841952321000 |        7 | Master Card               |        179 | 194      | 2011-01-01 00:00:00 | 2018-01-01 00:00:00 |       28 | 6208        |          93600 |
| 6011388472670230 |        6 | Discover                  |        180 | 634      | 2008-08-01 00:00:00 | 2010-08-01 00:00:00 |       17 | 7753        |          37600 |
| 30133091573058   |        1 | Diners Club International |        181 | 763      | 2014-12-01 00:00:00 | 2023-12-01 00:00:00 |       11 | 837         |          15600 |
| 6521850923911660 |        6 | Discover                  |        182 | 105      | 2016-06-01 00:00:00 | 2024-06-01 00:00:00 |       15 | 9973        |         140500 |
| 30999801659506   |        1 | Diners Club International |        183 | 335      | 2017-02-01 00:00:00 | 2029-02-01 00:00:00 |        2 | 7832        |         180400 |
| 5260476217937050 |        2 | Master Card               |        184 | 908      | 2009-05-01 00:00:00 | 2011-05-01 00:00:00 |       28 | 4195        |         199800 |
| 3571667592764310 |        3 | Japan Credit Bureau       |        185 | 5        | 2014-08-01 00:00:00 | 2026-08-01 00:00:00 |       13 | 8402        |         188000 |
| 4967172769858830 |        9 | Visa                      |        186 | 479      | 2010-06-01 00:00:00 | 2028-06-01 00:00:00 |       25 | 1287        |         150200 |
| 4996538562159280 |        5 | Visa                      |        187 | 278      | 2015-09-01 00:00:00 | 2028-09-01 00:00:00 |       26 | 2376        |         190800 |
| 6011577324246040 |        6 | Discover                  |        188 | 384      | 2010-10-01 00:00:00 | 2019-10-01 00:00:00 |        5 | 5618        |          26300 |
| 6441276998460540 |        6 | Discover                  |        189 | 189      | 2015-02-01 00:00:00 | 2025-02-01 00:00:00 |        7 | 2851        |          63300 |
| 4167921678015290 |        2 | Visa                      |        190 | 243      | 2011-08-01 00:00:00 | 2029-08-01 00:00:00 |       21 | 4832        |          39000 |
| 30908681414577   |        1 | Diners Club International |        191 | 987      | 2009-06-01 00:00:00 | 2028-06-01 00:00:00 |       17 | 6970        |          17500 |
| 5439182085614800 |       11 | Master Card               |        192 | 606      | 2007-10-01 00:00:00 | 2023-10-01 00:00:00 |        9 | 9523        |          47300 |
| 30906149726905   |        1 | Diners Club International |        193 | 309      | 2017-04-01 00:00:00 | 2024-04-01 00:00:00 |        8 | 9529        |          58600 |
| 5326741552849100 |        2 | Master Card               |        194 | 476      | 2007-04-01 00:00:00 | 2010-04-01 00:00:00 |       18 | 2579        |         137600 |
| 30112975954220   |        1 | Diners Club International |        195 | 118      | 2008-06-01 00:00:00 | 2011-06-01 00:00:00 |        6 | 9564        |          37000 |
| 38424474424858   |        1 | Diners Club International |        196 | 421      | 2016-08-01 00:00:00 | 2027-08-01 00:00:00 |       28 | 7595        |          35300 |
| 6562432583386320 |        6 | Discover                  |        197 | 890      | 2014-05-01 00:00:00 | 2023-05-01 00:00:00 |       24 | 93          |         135400 |
| 30954907766598   |        1 | Diners Club International |        198 | 671      | 2007-08-01 00:00:00 | 2025-08-01 00:00:00 |        3 | 6101        |         196500 |
| 30085659560572   |        1 | Diners Club International |        199 | 923      | 2009-04-01 00:00:00 | 2019-04-01 00:00:00 |        4 | 8616        |         127200 |
| 5212509849312070 |       15 | Master Card               |        200 | 10       | 2011-10-01 00:00:00 | 2016-10-01 00:00:00 |       27 | 634         |          94100 |
| 30297036278535   |        1 | Diners Club International |        201 | 618      | 2008-01-01 00:00:00 | 2012-01-01 00:00:00 |        6 | 9158        |          94300 |
| 4949985261382040 |        2 | Visa                      |        202 | 940      | 2016-11-01 00:00:00 | 2025-11-01 00:00:00 |       28 | 2953        |          46400 |
| 372645880931698  |        5 | American Express          |        203 | 8291     | 2012-04-01 00:00:00 | 2017-04-01 00:00:00 |        6 | 4266        |          54000 |
| 376326814309691  |        5 | American Express          |        204 | 8443     | 2010-12-01 00:00:00 | 2016-12-01 00:00:00 |        7 | 2858        |         139600 |
| 5469608468194990 |       15 | Master Card               |        205 | 621      | 2007-03-01 00:00:00 | 2014-03-01 00:00:00 |        9 | 6403        |         107600 |
| 6011677189786480 |        6 | Discover                  |        206 | 596      | 2013-01-01 00:00:00 | 2024-01-01 00:00:00 |        1 | 5503        |          96100 |
| 6225799597889620 |        6 | Discover                  |        207 | 544      | 2016-07-01 00:00:00 | 2028-07-01 00:00:00 |       25 | 4542        |          18900 |
| 3541710837705950 |        3 | Japan Credit Bureau       |        208 | 228      | 2010-09-01 00:00:00 | 2018-09-01 00:00:00 |        8 | 4509        |          51900 |
| 5497588187184800 |       12 | Master Card               |        209 | 212      | 2008-08-01 00:00:00 | 2019-08-01 00:00:00 |        8 | 9188        |          62400 |
| 3560060352663640 |        3 | Japan Credit Bureau       |        210 | 826      | 2013-06-01 00:00:00 | 2015-06-01 00:00:00 |       21 | 5615        |          54400 |
| 4140828295541920 |        2 | Visa                      |        211 | 63       | 2015-03-01 00:00:00 | 2032-03-01 00:00:00 |       16 | 1831        |         116700 |
| 6011460080946320 |        6 | Discover                  |        212 | 985      | 2013-09-01 00:00:00 | 2031-09-01 00:00:00 |        5 | 1218        |         106900 |
| 30196280964842   |        1 | Diners Club International |        213 | 3        | 2014-05-01 00:00:00 | 2033-05-01 00:00:00 |        8 | 1777        |         143100 |
| 344690770964941  |        8 | American Express          |        214 | 3449     | 2009-09-01 00:00:00 | 2019-09-01 00:00:00 |       11 | 66          |          40000 |
| 3533019275791580 |        3 | Japan Credit Bureau       |        215 | 544      | 2008-11-01 00:00:00 | 2018-11-01 00:00:00 |       20 | 457         |         190800 |
| 5295646030965820 |        2 | Master Card               |        216 | 910      | 2008-05-01 00:00:00 | 2012-05-01 00:00:00 |        3 | 7996        |         150500 |
| 4981935349837210 |        9 | Visa                      |        217 | 751      | 2010-04-01 00:00:00 | 2015-04-01 00:00:00 |       10 | 3718        |          53100 |
| 346891503284734  |        7 | American Express          |        218 | 7580     | 2017-05-01 00:00:00 | 2031-05-01 00:00:00 |       16 | 6427        |         111600 |
| 6576314912703110 |        6 | Discover                  |        219 | 115      | 2016-09-01 00:00:00 | 2023-09-01 00:00:00 |        5 | 6002        |         187200 |
| 36873798929079   |        1 | Diners Club International |        220 | 759      | 2017-11-01 00:00:00 | 2026-11-01 00:00:00 |       26 | 3166        |          31600 |
| 340483156170752  |        8 | American Express          |        221 | 409      | 2016-06-01 00:00:00 | 2024-06-01 00:00:00 |       17 | 166         |          52800 |
| 3589328449838710 |        3 | Japan Credit Bureau       |        222 | 792      | 2012-07-01 00:00:00 | 2013-07-01 00:00:00 |       19 | 5809        |         183300 |
| 4028514203859570 |        2 | Visa                      |        223 | 412      | 2010-05-01 00:00:00 | 2029-05-01 00:00:00 |       17 | 6154        |          97200 |
| 4193098779559050 |        9 | Visa                      |        224 | 663      | 2015-11-01 00:00:00 | 2028-11-01 00:00:00 |       18 | 9324        |         116400 |
| 4906965542405830 |        7 | Visa                      |        225 | 188      | 2013-09-01 00:00:00 | 2024-09-01 00:00:00 |        6 | 1796        |          27400 |
| 5268523895168920 |        2 | Master Card               |        226 | 84       | 2008-01-01 00:00:00 | 2026-01-01 00:00:00 |        3 | 208         |          60900 |
| 30193103068711   |        1 | Diners Club International |        227 | 716      | 2014-07-01 00:00:00 | 2034-07-01 00:00:00 |        4 | 791         |          18000 |
| 5487379721037000 |        9 | Master Card               |        228 | 722      | 2008-09-01 00:00:00 | 2017-09-01 00:00:00 |       14 | 4774        |          14200 |
| 6011631765938620 |        6 | Discover                  |        229 | 332      | 2007-06-01 00:00:00 | 2008-06-01 00:00:00 |        1 | 9264        |         158600 |
| 378843308291944  |        8 | American Express          |        230 | 3717     | 2014-01-01 00:00:00 | 2028-01-01 00:00:00 |       20 | 5829        |         158500 |
| 30319024745554   |        1 | Diners Club International |        231 | 648      | 2016-01-01 00:00:00 | 2036-01-01 00:00:00 |       10 | 5835        |          88000 |
| 378900678201141  |       11 | American Express          |        232 | 2980     | 2015-11-01 00:00:00 | 2026-11-01 00:00:00 |       15 | 9691        |         170800 |
| 346803901894766  |        8 | American Express          |        233 | 8832     | 2016-04-01 00:00:00 | 2034-04-01 00:00:00 |        7 | 6522        |          64700 |
| 4151542376203640 |        2 | Visa                      |        234 | 461      | 2012-04-01 00:00:00 | 2016-04-01 00:00:00 |        2 | 2305        |         177500 |
| 343811155515568  |        7 | American Express          |        235 | 9523     | 2015-11-01 00:00:00 | 2035-11-01 00:00:00 |       28 | 8840        |         153100 |
| 346450673787354  |        8 | American Express          |        236 | 8186     | 2010-11-01 00:00:00 | 2024-11-01 00:00:00 |       16 | 7545        |         199200 |
| 30167258847327   |        1 | Diners Club International |        237 | 110      | 2008-10-01 00:00:00 | 2013-10-01 00:00:00 |       13 | 2770        |         110600 |
| 30010154363470   |        1 | Diners Club International |        238 | 997      | 2009-12-01 00:00:00 | 2023-12-01 00:00:00 |       15 | 9801        |          97200 |
| 6011432912855860 |        6 | Discover                  |        239 | 515      | 2007-10-01 00:00:00 | 2023-10-01 00:00:00 |       20 | 1376        |          88900 |
| 372154811050447  |        8 | American Express          |        240 | 3503     | 2017-02-01 00:00:00 | 2029-02-01 00:00:00 |        3 | 245         |          40300 |
| 4574810190813900 |        2 | Visa                      |        241 | 54       | 2012-05-01 00:00:00 | 2023-05-01 00:00:00 |       28 | 8860        |         180800 |
| 5136269158160300 |        7 | Master Card               |        242 | 714      | 2007-11-01 00:00:00 | 2017-11-01 00:00:00 |       15 | 5768        |          47400 |
| 5159760118178230 |        7 | Master Card               |        243 | 118      | 2007-09-01 00:00:00 | 2018-09-01 00:00:00 |       12 | 2587        |          60400 |
| 30927331970283   |        1 | Diners Club International |        244 | 450      | 2010-04-01 00:00:00 | 2015-04-01 00:00:00 |       19 | 7932        |          45500 |
| 3559624487966690 |        3 | Japan Credit Bureau       |        245 | 321      | 2013-11-01 00:00:00 | 2021-11-01 00:00:00 |       20 | 821         |          70000 |
| 30279538999891   |        1 | Diners Club International |        246 | 916      | 2011-09-01 00:00:00 | 2023-09-01 00:00:00 |       27 | 8331        |         166200 |
| 347228933075805  |        8 | American Express          |        247 | 5911     | 2007-11-01 00:00:00 | 2023-11-01 00:00:00 |        3 | 8827        |         172500 |
| 30934090880471   |        1 | Diners Club International |        248 | 25       | 2015-12-01 00:00:00 | 2031-12-01 00:00:00 |       18 | 438         |         145500 |
| 3581079210934480 |        3 | Japan Credit Bureau       |        249 | 830      | 2015-05-01 00:00:00 | 2032-05-01 00:00:00 |       15 | 77          |          54000 |
| 30199878014939   |        1 | Diners Club International |        250 | 845      | 2007-01-01 00:00:00 | 2009-01-01 00:00:00 |        5 | 8645        |         176800 |
| 36081253918096   |        1 | Diners Club International |        251 | 844      | 2016-05-01 00:00:00 | 2031-05-01 00:00:00 |        2 | 5829        |          47200 |
| 5224240032271580 |       11 | Master Card               |        252 | 336      | 2017-10-01 00:00:00 | 2023-10-01 00:00:00 |        3 | 4293        |         110300 |
| 4671469008084230 |       15 | Visa                      |        253 | 298      | 2012-05-01 00:00:00 | 2028-05-01 00:00:00 |       25 | 8945        |         143600 |
| 30149592844087   |        1 | Diners Club International |        254 | 999      | 2014-04-01 00:00:00 | 2027-04-01 00:00:00 |        3 | 7909        |         165400 |
| 36881106244180   |        1 | Diners Club International |        255 | 665      | 2011-07-01 00:00:00 | 2021-07-01 00:00:00 |        1 | 5003        |          20900 |
| 3567512657745510 |        3 | Japan Credit Bureau       |        256 | 561      | 2008-01-01 00:00:00 | 2019-01-01 00:00:00 |       22 | 7798        |          53200 |
| 6481653515655050 |        6 | Discover                  |        257 | 687      | 2013-05-01 00:00:00 | 2032-05-01 00:00:00 |        1 | 8661        |          53700 |
| 3560765539026480 |        3 | Japan Credit Bureau       |        258 | 914      | 2010-05-01 00:00:00 | 2012-05-01 00:00:00 |       24 | 7939        |          77500 |
| 3571584032301850 |        3 | Japan Credit Bureau       |        259 | 797      | 2010-08-01 00:00:00 | 2016-08-01 00:00:00 |       27 | 5342        |         170200 |
| 36595767642959   |        1 | Diners Club International |        260 | 791      | 2010-03-01 00:00:00 | 2018-03-01 00:00:00 |       22 | 7420        |         124300 |
| 6011342001482120 |        6 | Discover                  |        261 | 408      | 2013-10-01 00:00:00 | 2030-10-01 00:00:00 |       17 | 1591        |         124600 |
| 30562136539288   |        1 | Diners Club International |        262 | 9        | 2014-09-01 00:00:00 | 2029-09-01 00:00:00 |       27 | 7344        |         132500 |
| 377304324167304  |        8 | American Express          |        263 | 8152     | 2017-11-01 00:00:00 | 2019-11-01 00:00:00 |       28 | 2230        |          51300 |
| 5208131415007340 |        7 | Master Card               |        264 | 748      | 2017-07-01 00:00:00 | 2033-07-01 00:00:00 |       12 | 9703        |          92200 |
| 30995644209996   |        1 | Diners Club International |        265 | 246      | 2013-08-01 00:00:00 | 2029-08-01 00:00:00 |        9 | 9655        |         176000 |
| 5142528468806200 |       12 | Master Card               |        266 | 527      | 2017-09-01 00:00:00 | 2036-09-01 00:00:00 |        6 | 3413        |          62900 |
| 6011160616127160 |        6 | Discover                  |        267 | 816      | 2014-11-01 00:00:00 | 2022-11-01 00:00:00 |       18 | 2566        |         160200 |
| 5370772897680630 |       11 | Master Card               |        268 | 145      | 2014-05-01 00:00:00 | 2020-05-01 00:00:00 |       15 | 7447        |          86600 |
| 6509523879148360 |        6 | Discover                  |        269 | 486      | 2016-10-01 00:00:00 | 2032-10-01 00:00:00 |       12 | 2759        |          25300 |
| 30926968915603   |        1 | Diners Club International |        270 | 952      | 2010-07-01 00:00:00 | 2030-07-01 00:00:00 |       18 | 143         |         166700 |
| 6464319963708670 |        6 | Discover                  |        271 | 817      | 2008-12-01 00:00:00 | 2010-12-01 00:00:00 |       11 | 202         |          48900 |
| 375032957592678  |        5 | American Express          |        272 | 5184     | 2013-04-01 00:00:00 | 2024-04-01 00:00:00 |       18 | 1086        |         184200 |
| 5451612225604580 |       15 | Master Card               |        273 | 387      | 2010-02-01 00:00:00 | 2030-02-01 00:00:00 |       20 | 8898        |         189600 |
| 3531458547407200 |        3 | Japan Credit Bureau       |        274 | 288      | 2015-11-01 00:00:00 | 2034-11-01 00:00:00 |        2 | 1156        |         141000 |
| 5132583266210950 |        2 | Master Card               |        275 | 475      | 2008-10-01 00:00:00 | 2019-10-01 00:00:00 |       20 | 3826        |         150100 |
| 4338178557598160 |        2 | Visa                      |        276 | 232      | 2014-11-01 00:00:00 | 2017-11-01 00:00:00 |        9 | 9646        |          40900 |
| 346918985306238  |        8 | American Express          |        277 | 3684     | 2009-04-01 00:00:00 | 2016-04-01 00:00:00 |        4 | 7008        |          67400 |
| 30202741464735   |        1 | Diners Club International |        278 | 202      | 2011-08-01 00:00:00 | 2017-08-01 00:00:00 |        7 | 3904        |          38800 |
| 6011058000759370 |        6 | Discover                  |        279 | 751      | 2008-04-01 00:00:00 | 2019-04-01 00:00:00 |       11 | 8180        |         177900 |
| 4034484091807020 |        5 | Visa                      |        280 | 776      | 2013-11-01 00:00:00 | 2015-11-01 00:00:00 |       25 | 2024        |         105100 |
| 372777891617022  |        8 | American Express          |        281 | 3427     | 2007-06-01 00:00:00 | 2027-06-01 00:00:00 |        1 | 3963        |         171900 |
| 5172162371272670 |       10 | Master Card               |        282 | 922      | 2011-09-01 00:00:00 | 2021-09-01 00:00:00 |        7 | 3780        |          44100 |
| 348222193550622  |        8 | American Express          |        283 | 7318     | 2013-06-01 00:00:00 | 2014-06-01 00:00:00 |       28 | 8874        |          95500 |
| 30543558564491   |        1 | Diners Club International |        284 | 866      | 2017-06-01 00:00:00 | 2021-06-01 00:00:00 |        7 | 2705        |         150300 |
| 5268334290204590 |        9 | Master Card               |        285 | 440      | 2013-05-01 00:00:00 | 2023-05-01 00:00:00 |       12 | 6242        |          24400 |
| 377020825871984  |        8 | American Express          |        286 | 6348     | 2010-09-01 00:00:00 | 2027-09-01 00:00:00 |        8 | 4265        |          68400 |
| 4337619087382520 |        9 | Visa                      |        287 | 373      | 2009-08-01 00:00:00 | 2023-08-01 00:00:00 |       19 | 8940        |          91900 |
| 5162744681922620 |        5 | Master Card               |        288 | 367      | 2009-05-01 00:00:00 | 2016-05-01 00:00:00 |        1 | 8830        |         186300 |
| 345651376073239  |        7 | American Express          |        289 | 5512     | 2007-03-01 00:00:00 | 2013-03-01 00:00:00 |        2 | 4322        |         161500 |
| 5121268048279450 |       15 | Master Card               |        290 | 171      | 2016-01-01 00:00:00 | 2032-01-01 00:00:00 |       27 | 6391        |          61400 |
| 3543518939678290 |        3 | Japan Credit Bureau       |        291 | 771      | 2008-04-01 00:00:00 | 2018-04-01 00:00:00 |       22 | 9635        |          42600 |
| 5478612071555160 |        2 | Master Card               |        292 | 468      | 2017-05-01 00:00:00 | 2024-05-01 00:00:00 |        2 | 7537        |          53500 |
| 5247719357434600 |        7 | Master Card               |        293 | 888      | 2016-03-01 00:00:00 | 2028-03-01 00:00:00 |       15 | 6314        |          84800 |
| 3568570034608600 |        3 | Japan Credit Bureau       |        294 | 477      | 2016-12-01 00:00:00 | 2027-12-01 00:00:00 |        3 | 2030        |         144800 |
| 6011749996422190 |        6 | Discover                  |        295 | 695      | 2007-03-01 00:00:00 | 2012-03-01 00:00:00 |       23 | 5951        |         117200 |
| 30022944237955   |        1 | Diners Club International |        296 | 611      | 2009-06-01 00:00:00 | 2025-06-01 00:00:00 |       15 | 1638        |         178000 |
| 6516363143383660 |        6 | Discover                  |        297 | 526      | 2010-12-01 00:00:00 | 2018-12-01 00:00:00 |        8 | 8732        |         158700 |
| 5436316217012000 |       11 | Master Card               |        298 | 18       | 2010-10-01 00:00:00 | 2030-10-01 00:00:00 |        6 | 2967        |         124500 |
| 4650568942032360 |        5 | Visa                      |        299 | 113      | 2011-11-01 00:00:00 | 2024-11-01 00:00:00 |       20 | 2337        |         146000 |
| 5144404300879380 |        7 | Master Card               |        300 | 359      | 2011-06-01 00:00:00 | 2015-06-01 00:00:00 |       28 | 3546        |          42700 |
| 30192924068843   |        1 | Diners Club International |        301 | 66       | 2012-12-01 00:00:00 | 2016-12-01 00:00:00 |       22 | 939         |         163500 |
| 30402490924984   |        1 | Diners Club International |        302 | 709      | 2007-10-01 00:00:00 | 2019-10-01 00:00:00 |        4 | 529         |         162900 |
| 30184614455224   |        1 | Diners Club International |        303 | 995      | 2017-08-01 00:00:00 | 2034-08-01 00:00:00 |       22 | 7008        |          28100 |
| 6011658095326120 |        6 | Discover                  |        304 | 937      | 2010-10-01 00:00:00 | 2027-10-01 00:00:00 |       22 | 378         |          34700 |
| 6011315788607210 |        6 | Discover                  |        305 | 13       | 2017-12-01 00:00:00 | 2020-12-01 00:00:00 |       21 | 3893        |          47700 |
| 5110131497629010 |        9 | Master Card               |        306 | 932      | 2017-01-01 00:00:00 | 2020-01-01 00:00:00 |       14 | 5526        |          40100 |
| 5443318507595570 |       12 | Master Card               |        307 | 291      | 2008-08-01 00:00:00 | 2011-08-01 00:00:00 |       16 | 1821        |         115000 |
| 4324938670035420 |        9 | Visa                      |        308 | 822      | 2008-07-01 00:00:00 | 2011-07-01 00:00:00 |       11 | 8174        |         118800 |
| 6577650651546730 |        6 | Discover                  |        309 | 12       | 2011-02-01 00:00:00 | 2030-02-01 00:00:00 |        3 | 7911        |         125500 |
| 5248310043966390 |       10 | Master Card               |        310 | 962      | 2016-10-01 00:00:00 | 2023-10-01 00:00:00 |       24 | 9262        |         126400 |
